column_name,code,units,description,format
NAmE,NAm,Persons,PLACE OF BIRTH|Foreign-born|Americas|Northern America,
CanadaE,Canada,Persons,PLACE OF BIRTH|Foreign-born|Americas|Northern America|Canada ,
ONAmE,ONAm,Persons,PLACE OF BIRTH|Foreign-born|Americas|Northern America|Other Northern America ,
Fb3E,Fb3,Persons,U.S. CITIZENSHIP STATUS|Foreign-born population,
FbNtlzdE,FbNtlzd,Persons,U.S. CITIZENSHIP STATUS|Foreign-born population|Naturalized U.S. citizen,
FbNotCznE,FbNotCzn,Persons,U.S. CITIZENSHIP STATUS|Foreign-born population|Not a U.S. citizen,
Fb4E,Fb4,Persons,YEAR OF ENTRY|Foreign-born population,
Fb2010LtrE,Fb2010Ltr,Persons,YEAR OF ENTRY|Foreign-born population|Entered 2010 or later,
Pop5pl1E,Pop5pl1,Persons,LANGUAGE SPOKEN AT HOME|Population 5 years and over,
EngOnly1E,EngOnly1,Persons,LANGUAGE SPOKEN AT HOME|Population 5 years and over|English only,
LgOEng1E,LgOEng1,Persons,LANGUAGE SPOKEN AT HOME|Population 5 years and over|Language other than English,
LgOEnLEP1E,LgOEnLEP1,Persons,"LANGUAGE SPOKEN AT HOME|Population 5 years and over|Language other than English|Speak English less than ""very well""",
LgSp1E,LgSp1,Persons,LANGUAGE SPOKEN AT HOME|Spanish,
LgSpLEP1E,LgSpLEP1,Persons,"LANGUAGE SPOKEN AT HOME|Spanish|Speak English less than ""very well""",
LgFr1E,LgFr1,Persons,"LANGUAGE SPOKEN AT HOME|French, Haitian, or Cajun",
LgFrLEP1E,LgFrLEP1,Persons,"LANGUAGE SPOKEN AT HOME|French, Haitian, or Cajun|Speak English less than ""very well""",
LgGrm1E,LgGrm1,Persons,LANGUAGE SPOKEN AT HOME|German or other West Germanic languages,
LgGrmLEP1E,LgGrmLEP1,Persons,"LANGUAGE SPOKEN AT HOME|German or other West Germanic languages|Speak English less than ""very well""",
LgRusPol1E,LgRusPol1,Persons,"LANGUAGE SPOKEN AT HOME|Russian, Polish, or other Slavic languages",
LgRsPLEP1E,LgRsPLEP1,Persons,"LANGUAGE SPOKEN AT HOME|Russian, Polish, or other Slavic languages|Speak English less than ""very well""",
LgOIEu1E,LgOIEu1,Persons,LANGUAGE SPOKEN AT HOME|Other Indo-European languages,
LgOIELEP1E,LgOIELEP1,Persons,"LANGUAGE SPOKEN AT HOME|Other Indo-European languages|Speak English less than ""very well""",
LgKor1E,LgKor1,Persons,LANGUAGE SPOKEN AT HOME|Korean,
LgKorLEP1E,LgKorLEP1,Persons,"LANGUAGE SPOKEN AT HOME|Korean|Speak English less than ""very well""",
LgChi1E,LgChi1,Persons,"LANGUAGE SPOKEN AT HOME|Chinese (incl. Mandarin, Catonese)",
LgChiLEP1E,LgChiLEP1,Persons,"LANGUAGE SPOKEN AT HOME|Chinese (incl. Mandarin, Catonese)|Speak English less than ""very well""",
LgViet1E,LgViet1,Persons,LANGUAGE SPOKEN AT HOME|Vietnamese,
LgVieLEP1E,LgVieLEP1,Persons,"LANGUAGE SPOKEN AT HOME|Vietnamese|Speak English less than ""very well""",
LgTag1E,LgTag1,Persons,LANGUAGE SPOKEN AT HOME|Tagalog,
LgTagLEP1E,LgTagLEP1,Persons,"LANGUAGE SPOKEN AT HOME|Tagalog|Speak English less than ""very well""",
LgOAsn1E,LgOAsn1,Persons,LANGUAGE SPOKEN AT HOME|Other Asian and Pacific Island languages,
LgOAnLEP1E,LgOAnLEP1,Persons,"LANGUAGE SPOKEN AT HOME|Other Asian and Pacific Island languages|Speak English less than ""very well""",
LgArab1E,LgArab1,Persons,LANGUAGE SPOKEN AT HOME|Arabic,
LgArbLEP1E,LgArbLEP1,Persons,"LANGUAGE SPOKEN AT HOME|Arabic|Speak English less than ""very well""",
LgOLg1E,LgOLg1,Persons,LANGUAGE SPOKEN AT HOME|Other and unspecified languages,
LgOLgLEP1E,LgOLgLEP1,Persons,"LANGUAGE SPOKEN AT HOME|Other and unspecified languages|Speak English less than ""very well""",
Pop5pl2E,Pop5pl2,Persons,LANGUAGE SPOKEN AT HOME|Population 5 years and over,
EngOnly2E,EngOnly2,Persons,LANGUAGE SPOKEN AT HOME|Population 5 years and over|English only,
LgOEng2E,LgOEng2,Persons,LANGUAGE SPOKEN AT HOME|Population 5 years and over|Language other than English,
LgSp2E,LgSp2,Persons,LANGUAGE SPOKEN AT HOME|Population 5 years and over|Language other than English|Spanish,
LgFr2E,LgFr2,Persons,"LANGUAGE SPOKEN AT HOME|Population 5 years and over|Language other than English|French, Haitian, or Cajun",
LgGrm2E,LgGrm2,Persons,LANGUAGE SPOKEN AT HOME|Population 5 years and over|Language other than English|German or other West Germanic languages,
LgRusPol2E,LgRusPol2,Persons,"LANGUAGE SPOKEN AT HOME|Population 5 years and over|Language other than English|Russian, Polish, or other Slavic languages",
LgOIEu2E,LgOIEu2,Persons,LANGUAGE SPOKEN AT HOME|Population 5 years and over|Language other than English|Other Indo-European languages,
LgKor2E,LgKor2,Persons,LANGUAGE SPOKEN AT HOME|Population 5 years and over|Language other than English|Korean,
LgChi2E,LgChi2,Persons,"LANGUAGE SPOKEN AT HOME|Population 5 years and over|Language other than English|Chinese (incl. Mandarin, Catonese)",
LgViet2E,LgViet2,Persons,LANGUAGE SPOKEN AT HOME|Population 5 years and over|Language other than English|Vietnamese,
LgTag2E,LgTag2,Persons,LANGUAGE SPOKEN AT HOME|Population 5 years and over|Language other than English|Tagalog,
LgOAsn2E,LgOAsn2,Persons,LANGUAGE SPOKEN AT HOME|Population 5 years and over|Language other than English|Other Asian and Pacific Island languages,
LgArab2E,LgArab2,Persons,LANGUAGE SPOKEN AT HOME|Population 5 years and over|Language other than English|Arabic,
LgOLg2E,LgOLg2,Persons,LANGUAGE SPOKEN AT HOME|Population 5 years and over|Language other than English|Other and unspecified languages,
LgOEnLEP2E,LgOEnLEP2,Persons,"LANGUAGE SPOKEN AT HOME|Speak English less than ""very well""",
LgSpLEP2E,LgSpLEP2,Persons,"LANGUAGE SPOKEN AT HOME|Speak English less than ""very well""|Spanish",
LgFrLEP2E,LgFrLEP2,Persons,"LANGUAGE SPOKEN AT HOME|Speak English less than ""very well""|French, Haitian, or Cajun",
LgGrmLEP2E,LgGrmLEP2,Persons,"LANGUAGE SPOKEN AT HOME|Speak English less than ""very well""|German or other West Germanic languages",
LgRsPLEP2E,LgRsPLEP2,Persons,"LANGUAGE SPOKEN AT HOME|Speak English less than ""very well""|Russian, Polish, or other Slavic languages",
LgOIELEP2E,LgOIELEP2,Persons,"LANGUAGE SPOKEN AT HOME|Speak English less than ""very well""|Other Indo-European languages",
LgKorLEP2E,LgKorLEP2,Persons,"LANGUAGE SPOKEN AT HOME|Speak English less than ""very well""|Korean",
LgChiLEP2E,LgChiLEP2,Persons,"LANGUAGE SPOKEN AT HOME|Speak English less than ""very well""|Chinese (incl. Mandarin, Catonese)",
LgVieLEP2E,LgVieLEP2,Persons,"LANGUAGE SPOKEN AT HOME|Speak English less than ""very well""|Vietnamese",
LgTagLEP2E,LgTagLEP2,Persons,"LANGUAGE SPOKEN AT HOME|Speak English less than ""very well""|Tagalog",
LgOAnLEP2E,LgOAnLEP2,Persons,"LANGUAGE SPOKEN AT HOME|Speak English less than ""very well""|Other Asian and Pacific Island languages",
LgArbLEP2E,LgArbLEP2,Persons,"LANGUAGE SPOKEN AT HOME|Speak English less than ""very well""|Arabic",
LgOLgLEP2E,LgOLgLEP2,Persons,"LANGUAGE SPOKEN AT HOME|Speak English less than ""very well""|Other and unspecified languages",
Pop_5E,Pop_5,Persons,ANCESTRY|Total population,
AfgE,Afg,Persons,ANCESTRY|Total population|Afghan ,
AlbE,Alb,Persons,ANCESTRY|Total population|Albanian ,
AlsatnE,Alsatn,Persons,ANCESTRY|Total population|Alsatian ,
AmercnE,Amercn,Persons,ANCESTRY|Total population|American ,
ArabE,Arab,Persons,ANCESTRY|Total population|Arab,
EgyptnE,Egyptn,Persons,ANCESTRY|Total population|Arab|Egyptian ,
IraqiE,Iraqi,Persons,ANCESTRY|Total population|Arab|Iraqi ,
JrdnianE,Jrdnian,Persons,ANCESTRY|Total population|Arab|Jordanian ,
LebaneseE,Lebanese,Persons,ANCESTRY|Total population|Arab|Lebanese ,
MoroccanE,Moroccan,Persons,ANCESTRY|Total population|Arab|Moroccan ,
PalstnianE,Palstnian,Persons,ANCESTRY|Total population|Arab|Palestinian ,
SyrianE,Syrian,Persons,ANCESTRY|Total population|Arab|Syrian ,
ArabSubE,ArabSub,Persons,ANCESTRY|Total population|Arab|Arab ,
OArabE,OArab,Persons,ANCESTRY|Total population|Arab|Other Arab ,
ArmenianE,Armenian,Persons,ANCESTRY|Total population|Armenian ,
AsyrChldSE,AsyrChldS,Persons,ANCESTRY|Total population|Assyrian/Chaldean/Syriac ,
AustrlnE,Austrln,Persons,ANCESTRY|Total population|Australian ,
AustrianE,Austrian,Persons,ANCESTRY|Total population|Austrian ,
BasqueE,Basque,Persons,ANCESTRY|Total population|Basque ,
BelgianE,Belgian,Persons,ANCESTRY|Total population|Belgian ,
BrzlianE,Brzlian,Persons,ANCESTRY|Total population|Brazilian ,
BritishE,British,Persons,ANCESTRY|Total population|British ,
BulgrianE,Bulgrian,Persons,ANCESTRY|Total population|Bulgarian ,
CajunE,Cajun,Persons,ANCESTRY|Total population|Cajun ,
CanadianE,Canadian,Persons,ANCESTRY|Total population|Canadian ,
CarpRusnE,CarpRusn,Persons,ANCESTRY|Total population|Carpatho Rusyn ,
CelticE,Celtic,Persons,ANCESTRY|Total population|Celtic ,
CroatianE,Croatian,Persons,ANCESTRY|Total population|Croatian ,
CypriotE,Cypriot,Persons,ANCESTRY|Total population|Cypriot ,
CzechE,Czech,Persons,ANCESTRY|Total population|Czech ,
CzechSlvE,CzechSlv,Persons,ANCESTRY|Total population|Czechoslovakian ,
DanishE,Danish,Persons,ANCESTRY|Total population|Danish ,
DutchE,Dutch,Persons,ANCESTRY|Total population|Dutch ,
EEurpnE,EEurpn,Persons,ANCESTRY|Total population|Eastern European ,
EnglishE,English,Persons,ANCESTRY|Total population|English ,
EstonianE,Estonian,Persons,ANCESTRY|Total population|Estonian ,
EuropeanE,European,Persons,ANCESTRY|Total population|European ,
FinnishE,Finnish,Persons,ANCESTRY|Total population|Finnish ,
FrNotBsqE,FrNotBsq,Persons,ANCESTRY|Total population|French (except Basque) ,
FrCandianE,FrCandian,Persons,ANCESTRY|Total population|French Canadian ,
GermanE,German,Persons,ANCESTRY|Total population|German ,
GermRusE,GermRus,Persons,ANCESTRY|Total population|German Russian ,
GreekE,Greek,Persons,ANCESTRY|Total population|Greek ,
GuyaneseE,Guyanese,Persons,ANCESTRY|Total population|Guyanese ,
HgrianE,Hgrian,Persons,ANCESTRY|Total population|Hungarian ,
IcelndrE,Icelndr,Persons,ANCESTRY|Total population|Icelander ,
IranianE,Iranian,Persons,ANCESTRY|Total population|Iranian ,
IrishE,Irish,Persons,ANCESTRY|Total population|Irish ,
IsraeliE,Israeli,Persons,ANCESTRY|Total population|Israeli ,
ItalianE,Italian,Persons,ANCESTRY|Total population|Italian ,
LatvianE,Latvian,Persons,ANCESTRY|Total population|Latvian ,
LthianE,Lthian,Persons,ANCESTRY|Total population|Lithuanian ,
LuxmbgrE,Luxmbgr,Persons,ANCESTRY|Total population|Luxemburger ,
MacdnianE,Macdnian,Persons,ANCESTRY|Total population|Macedonian ,
MalteseE,Maltese,Persons,ANCESTRY|Total population|Maltese ,
NzealndE,Nzealnd,Persons,ANCESTRY|Total population|New Zealander ,
NEurpnE,NEurpn,Persons,ANCESTRY|Total population|Northern European ,
NorwgianE,Norwgian,Persons,ANCESTRY|Total population|Norwegian ,
PennGermE,PennGerm,Persons,ANCESTRY|Total population|Pennsylvania German ,
PolishE,Polish,Persons,ANCESTRY|Total population|Polish ,
PortgeseE,Portgese,Persons,ANCESTRY|Total population|Portuguese ,
RomanianE,Romanian,Persons,ANCESTRY|Total population|Romanian ,
RussianE,Russian,Persons,ANCESTRY|Total population|Russian ,
ScandnvnE,Scandnvn,Persons,ANCESTRY|Total population|Scandinavian ,
SctchIrshE,SctchIrsh,Persons,ANCESTRY|Total population|Scotch-Irish ,
ScottishE,Scottish,Persons,ANCESTRY|Total population|Scottish ,
SerbianE,Serbian,Persons,ANCESTRY|Total population|Serbian ,
SlavicE,Slavic,Persons,ANCESTRY|Total population|Slavic ,
SlovakE,Slovak,Persons,ANCESTRY|Total population|Slovak ,
SloveneE,Slovene,Persons,ANCESTRY|Total population|Slovene ,
SvtUnionE,SvtUnion,Persons,ANCESTRY|Total population|Soviet Union ,
SubSAfE,SubSAf,Persons,ANCESTRY|Total population|Subsaharan African,
CvrdeanE,Cvrdean,Persons,ANCESTRY|Total population|Subsaharan African|Cabo Verdean ,
EthpianE,Ethpian,Persons,ANCESTRY|Total population|Subsaharan African|Ethiopian ,
GhanaianE,Ghanaian,Persons,ANCESTRY|Total population|Subsaharan African|Ghanaian ,
KenyanE,Kenyan,Persons,ANCESTRY|Total population|Subsaharan African|Kenyan ,
LiberianE,Liberian,Persons,ANCESTRY|Total population|Subsaharan African|Liberian ,
NigerianE,Nigerian,Persons,ANCESTRY|Total population|Subsaharan African|Nigerian ,
SngleseE,Snglese,Persons,ANCESTRY|Total population|Subsaharan African|Senegalese ,
SLeoneanE,SLeonean,Persons,ANCESTRY|Total population|Subsaharan African|Sierra Leonean ,
SomaliE,Somali,Persons,ANCESTRY|Total population|Subsaharan African|Somali ,
SAfricanE,SAfrican,Persons,ANCESTRY|Total population|Subsaharan African|South African ,
SudaneseE,Sudanese,Persons,ANCESTRY|Total population|Subsaharan African|Sudanese ,
UgandanE,Ugandan,Persons,ANCESTRY|Total population|Subsaharan African|Ugandan ,
ZmbweanE,Zmbwean,Persons,ANCESTRY|Total population|Subsaharan African|Zimbabwean ,
AfricanE,African,Persons,ANCESTRY|Total population|Subsaharan African|African ,
OSubSAfrE,OSubSAfr,Persons,ANCESTRY|Total population|Subsaharan African|Other Subsaharan African ,
SwedishE,Swedish,Persons,ANCESTRY|Total population|Subsaharan African|Swedish ,
SwissE,Swiss,Persons,ANCESTRY|Total population|Subsaharan African|Swiss ,
TurkishE,Turkish,Persons,ANCESTRY|Total population|Subsaharan African|Turkish ,
UkrnianE,Ukrnian,Persons,ANCESTRY|Total population|Subsaharan African|Ukrainian ,
WelshE,Welsh,Persons,ANCESTRY|Total population|Subsaharan African|Welsh ,
WIndNHspE,WIndNHsp,Persons,ANCESTRY|Total population|West Indian (except Hispanic groups),
BahamianE,Bahamian,Persons,ANCESTRY|Total population|West Indian (except Hispanic groups)|Bahamian ,
BrbdianE,Brbdian,Persons,ANCESTRY|Total population|West Indian (except Hispanic groups)|Barbadian ,
BelizeanE,Belizean,Persons,ANCESTRY|Total population|West Indian (except Hispanic groups)|Belizean ,
BermudanE,Bermudan,Persons,ANCESTRY|Total population|West Indian (except Hispanic groups)|Bermudan ,
BrtWIndE,BrtWInd,Persons,ANCESTRY|Total population|West Indian (except Hispanic groups)|British West Indian ,
DchWIndE,DchWInd,Persons,ANCESTRY|Total population|West Indian (except Hispanic groups)|Dutch West Indian ,
HaitianE,Haitian,Persons,ANCESTRY|Total population|West Indian (except Hispanic groups)|Haitian ,
JamaicanE,Jamaican,Persons,ANCESTRY|Total population|West Indian (except Hispanic groups)|Jamaican ,
TAndTobE,TAndTob,Persons,ANCESTRY|Total population|West Indian (except Hispanic groups)|Trinidadian and Tobagonian ,
USVrgIsE,USVrgIs,Persons,ANCESTRY|Total population|West Indian (except Hispanic groups)|U.S. Virgin Islander ,
WIndSubE,WIndSub,Persons,ANCESTRY|Total population|West Indian (except Hispanic groups)|West Indian ,
OWIndE,OWInd,Persons,ANCESTRY|Total population|West Indian (except Hispanic groups)|Other West Indian ,
YugoSlvE,YugoSlv,Persons,ANCESTRY|Total population|Yugoslavian ,
OthrE,Othr,Persons,ANCESTRY|Total population|Other groups ,
UnclsNRE,UnclsNR,Persons,ANCESTRY|Total population|Unclassified or not reported ,
HH3E,HH3,Households,COMPUTERS AND INTERNET USE|Total households,
HHCompE,HHComp,Households,COMPUTERS AND INTERNET USE|Total households|With a computer,
HHIntE,HHInt,Households,COMPUTERS AND INTERNET USE|Total households|With a broadband Internet subscription,
